# BornAgain Intensity Data
# Simple array suitable for numpy, matlab etc.
# coordinates         intensities
1.500000000000e-03    9.996325897262e+07
4.500000000000e-03    9.988977965296e+07
7.500000000000e-03    9.981624102013e+07
1.050000000000e-02    9.974256733185e+07
1.350000000000e-02    9.966868237917e+07
1.650000000000e-02    9.959450920572e+07
1.950000000000e-02    9.951996982062e+07
2.250000000000e-02    9.944498490224e+07
2.550000000000e-02    9.936947349042e+07
2.850000000000e-02    9.929335266423e+07
3.150000000000e-02    9.921653720212e+07
3.450000000000e-02    9.913893922121e+07
3.750000000000e-02    9.906046779212e+07
4.050000000000e-02    9.898102852503e+07
4.350000000000e-02    9.890052312261e+07
4.650000000000e-02    9.881884889456e+07
4.950000000000e-02    9.873589822795e+07
5.250000000000e-02    9.865155800667e+07
5.550000000000e-02    9.856570897240e+07
5.850000000000e-02    9.847822501837e+07
6.150000000000e-02    9.838897240560e+07
6.450000000000e-02    9.829780889000e+07
6.750000000000e-02    9.820458274648e+07
7.050000000000e-02    9.810913167401e+07
7.350000000000e-02    9.801128156263e+07
7.650000000000e-02    9.791084510014e+07
7.950000000000e-02    9.780762019171e+07
8.250000000000e-02    9.770138816107e+07
8.550000000000e-02    9.759191169512e+07
8.850000000000e-02    9.747893248659e+07
9.150000000000e-02    9.736216851961e+07
9.450000000000e-02    9.724131093128e+07
9.750000000000e-02    9.711602036763e+07
1.005000000000e-01    9.698592273333e+07
1.035000000000e-01    9.685060421122e+07
1.065000000000e-01    9.670960539715e+07
1.095000000000e-01    9.656241435676e+07
1.125000000000e-01    9.640845836004e+07
1.155000000000e-01    9.624709398362e+07
1.185000000000e-01    9.607759518288e+07
1.215000000000e-01    9.589913881961e+07
1.245000000000e-01    9.571078697348e+07
1.275000000000e-01    9.551146515139e+07
1.305000000000e-01    9.529993521290e+07
1.335000000000e-01    9.507476141637e+07
1.365000000000e-01    9.483426740368e+07
1.395000000000e-01    9.457648109615e+07
1.425000000000e-01    9.429906323488e+07
1.455000000000e-01    9.399921344772e+07
1.485000000000e-01    9.367354490161e+07
1.515000000000e-01    9.331791419264e+07
1.545000000000e-01    9.292718606773e+07
1.575000000000e-01    9.249490093563e+07
1.605000000000e-01    9.201279329840e+07
1.635000000000e-01    9.147007416537e+07
1.665000000000e-01    9.085232573776e+07
1.695000000000e-01    9.013973082232e+07
1.725000000000e-01    8.930409994340e+07
1.755000000000e-01    8.830358409084e+07
1.785000000000e-01    8.707256885985e+07
1.815000000000e-01    8.550047634881e+07
1.845000000000e-01    8.338138535279e+07
1.875000000000e-01    8.027108869568e+07
1.905000000000e-01    7.495582066701e+07
1.935000000000e-01    6.254297139289e+07
1.965000000000e-01    3.539644942670e+07
1.995000000000e-01    1.981072324539e+07
2.025000000000e-01    1.239241481465e+07
2.055000000000e-01    8.196505661172e+06
2.085000000000e-01    5.581301204254e+06
2.115000000000e-01    3.855651936555e+06
2.145000000000e-01    2.675701336945e+06
2.175000000000e-01    1.850619916595e+06
2.205000000000e-01    1.266114767933e+06
2.235000000000e-01    8.497879823802e+05
2.265000000000e-01    5.537737024583e+05
2.295000000000e-01    3.453417663122e+05
2.325000000000e-01    2.014979015615e+05
2.355000000000e-01    1.057269894973e+05
2.385000000000e-01    4.594925317289e+04
2.415000000000e-01    1.319427863496e+04
2.445000000000e-01    7.161263604983e+02
2.475000000000e-01    3.388308078819e+03
2.505000000000e-01    1.728131524552e+04
2.535000000000e-01    3.936213048775e+04
2.565000000000e-01    6.727699741177e+04
2.595000000000e-01    9.919209635155e+04
2.625000000000e-01    1.336751747780e+05
2.655000000000e-01    1.696065825974e+05
2.685000000000e-01    2.061117082344e+05
2.715000000000e-01    2.425091827902e+05
2.745000000000e-01    2.782708327149e+05
2.775000000000e-01    3.129904758620e+05
2.805000000000e-01    3.463594366315e+05
2.835000000000e-01    3.781472101539e+05
2.865000000000e-01    4.081861035965e+05
2.895000000000e-01    4.363589718359e+05
2.925000000000e-01    4.625893769086e+05
2.955000000000e-01    4.868336578202e+05
2.985000000000e-01    5.090745147436e+05
3.015000000000e-01    5.293158001383e+05
3.045000000000e-01    5.475782765253e+05
3.075000000000e-01    5.638961520437e+05
3.105000000000e-01    5.783142444995e+05
3.135000000000e-01    5.908856552773e+05
3.165000000000e-01    6.016698584021e+05
3.195000000000e-01    6.107311287748e+05
3.225000000000e-01    6.181372483843e+05
3.255000000000e-01    6.239584409963e+05
3.285000000000e-01    6.282664951329e+05
3.315000000000e-01    6.311340426045e+05
3.345000000000e-01    6.326339658280e+05
3.375000000000e-01    6.328389119876e+05
3.405000000000e-01    6.318208959894e+05
3.435000000000e-01    6.296509773267e+05
3.465000000000e-01    6.263989985532e+05
3.495000000000e-01    6.221333751672e+05
3.525000000000e-01    6.169209284390e+05
3.555000000000e-01    6.108267541342e+05
3.585000000000e-01    6.039141212577e+05
3.615000000000e-01    5.962443959103e+05
3.645000000000e-01    5.878769861529e+05
3.675000000000e-01    5.788693044385e+05
3.705000000000e-01    5.692767447281e+05
3.735000000000e-01    5.591526718662e+05
3.765000000000e-01    5.485484211808e+05
3.795000000000e-01    5.375133065930e+05
3.825000000000e-01    5.260946357931e+05
3.855000000000e-01    5.143377312688e+05
3.885000000000e-01    5.022859561589e+05
3.915000000000e-01    4.899807440696e+05
3.945000000000e-01    4.774616321228e+05
3.975000000000e-01    4.647662966239e+05
4.005000000000e-01    4.519305908281e+05
4.035000000000e-01    4.389885843684e+05
4.065000000000e-01    4.259726039769e+05
4.095000000000e-01    4.129132751881e+05
4.125000000000e-01    3.998395647617e+05
4.155000000000e-01    3.867788236045e+05
4.185000000000e-01    3.737568300067e+05
4.215000000000e-01    3.607978330339e+05
4.245000000000e-01    3.479245959470e+05
4.275000000000e-01    3.351584395368e+05
4.305000000000e-01    3.225192852818e+05
4.335000000000e-01    3.100256982534e+05
4.365000000000e-01    2.976949297000e+05
4.395000000000e-01    2.855429592593e+05
4.425000000000e-01    2.735845367508e+05
4.455000000000e-01    2.618332235112e+05
4.485000000000e-01    2.503014332412e+05
4.515000000000e-01    2.390004723368e+05
4.545000000000e-01    2.279405796812e+05
4.575000000000e-01    2.171309658819e+05
4.605000000000e-01    2.065798519332e+05
4.635000000000e-01    1.962945072935e+05
4.665000000000e-01    1.862812873648e+05
4.695000000000e-01    1.765456703654e+05
4.725000000000e-01    1.670922935864e+05
4.755000000000e-01    1.579249890259e+05
4.785000000000e-01    1.490468183944e+05
4.815000000000e-01    1.404601074856e+05
4.845000000000e-01    1.321664799072e+05
4.875000000000e-01    1.241668901696e+05
4.905000000000e-01    1.164616561256e+05
4.935000000000e-01    1.090504907599e+05
4.965000000000e-01    1.019325333247e+05
4.995000000000e-01    9.510637981791e+04
5.025000000000e-01    8.857011280248e+04
5.055000000000e-01    8.232133056369e+04
5.085000000000e-01    7.635717560320e+04
5.115000000000e-01    7.067436246762e+04
5.145000000000e-01    6.526920491040e+04
5.175000000000e-01    6.013764238583e+04
5.205000000000e-01    5.527526587428e+04
5.235000000000e-01    5.067734303802e+04
5.265000000000e-01    4.633884270749e+04
5.295000000000e-01    4.225445869789e+04
5.325000000000e-01    3.841863295653e+04
5.355000000000e-01    3.482557804164e+04
5.385000000000e-01    3.146929893371e+04
5.415000000000e-01    2.834361418066e+04
5.445000000000e-01    2.544217637877e+04
5.475000000000e-01    2.275849199140e+04
5.505000000000e-01    2.028594050816e+04
5.535000000000e-01    1.801779294734e+04
5.565000000000e-01    1.594722970500e+04
5.595000000000e-01    1.406735775447e+04
5.625000000000e-01    1.237122720036e+04
5.655000000000e-01    1.085184719153e+04
5.685000000000e-01    9.502201198152e+03
5.715000000000e-01    8.315261657952e+03
5.745000000000e-01    7.284003997557e+03
5.775000000000e-01    6.401420034942e+03
5.805000000000e-01    5.660530769526e+03
5.835000000000e-01    5.054398566788e+03
5.865000000000e-01    4.576138744654e+03
5.895000000000e-01    4.218930569275e+03
5.925000000000e-01    3.976027668151e+03
5.955000000000e-01    3.840767868926e+03
5.985000000000e-01    3.806582472488e+03
6.015000000000e-01    3.867004969351e+03
6.045000000000e-01    4.015679208573e+03
6.075000000000e-01    4.246367028804e+03
6.105000000000e-01    4.552955361297e+03
6.135000000000e-01    4.929462815020e+03
6.165000000000e-01    5.370045754241e+03
6.195000000000e-01    5.869003879204e+03
6.225000000000e-01    6.420785320753e+03
6.255000000000e-01    7.019991259962e+03
6.285000000000e-01    7.661380084028e+03
6.315000000000e-01    8.339871089869e+03
6.345000000000e-01    9.050547747045e+03
6.375000000000e-01    9.788660531760e+03
6.405000000000e-01    1.054962934385e+04
6.435000000000e-01    1.132904551881e+04
6.465000000000e-01    1.212267344692e+04
6.495000000000e-01    1.292645181180e+04
6.525000000000e-01    1.373649446068e+04
6.555000000000e-01    1.454909091865e+04
6.585000000000e-01    1.536070655956e+04
6.615000000000e-01    1.616798244570e+04
6.645000000000e-01    1.696773484913e+04
6.675000000000e-01    1.775695446682e+04
6.705000000000e-01    1.853280534236e+04
6.735000000000e-01    1.929262350650e+04
6.765000000000e-01    2.003391534918e+04
6.795000000000e-01    2.075435573529e+04
6.825000000000e-01    2.145178587661e+04
6.855000000000e-01    2.212421097224e+04
6.885000000000e-01    2.276979762964e+04
6.915000000000e-01    2.338687107844e+04
6.945000000000e-01    2.397391218920e+04
6.975000000000e-01    2.452955430870e+04
7.005000000000e-01    2.505257992395e+04
7.035000000000e-01    2.554191716625e+04
7.065000000000e-01    2.599663616704e+04
7.095000000000e-01    2.641594527679e+04
7.125000000000e-01    2.679918715821e+04
7.155000000000e-01    2.714583476478e+04
7.185000000000e-01    2.745548721550e+04
7.215000000000e-01    2.772786557654e+04
7.245000000000e-01    2.796280856019e+04
7.275000000000e-01    2.816026815156e+04
7.305000000000e-01    2.832030517298e+04
7.335000000000e-01    2.844308479594e+04
7.365000000000e-01    2.852887201039e+04
7.395000000000e-01    2.857802706059e+04
7.425000000000e-01    2.859100085684e+04
7.455000000000e-01    2.856833037196e+04
7.485000000000e-01    2.851063403124e+04
7.515000000000e-01    2.841860710431e+04
7.545000000000e-01    2.829301710705e+04
7.575000000000e-01    2.813469922162e+04
7.605000000000e-01    2.794455174208e+04
7.635000000000e-01    2.772353155312e+04
7.665000000000e-01    2.747264964910e+04
7.695000000000e-01    2.719296670001e+04
